#,#,#,#,#,#,#,#,#,#,D4,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,.,.,.,.,.,.,.,.,.,D4,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,D4,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,P3,.,.,.,X7,#
#,.,.,.,.,.,S4,.,.,.,D4,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,#,#
#,.,.,.,.,.,#,#,#,#,#,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,S6,.,.,.,#,.,.,.,#,#
#,.,.,.,.,.,.,.,.,.,#,.,#,.,#,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,#
#,.,.,.,.,.,.,.,.,.,#,.,#,.,#,.,#,.,.,.,.,#,.,.,.,.,.,.,.,.,D6,D6,D6,D6,#,.,.,.,#,#
#,.,.,.,.,.,.,.,.,.,#,^,#,^,#,^,#,^,#,.,.,#,S7,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,#
#,.,.,.,.,.,.,.,.,.,D1,#,D2,#,D3,#,#,#,#,#,l,#,D7,D7,D7,D7,D7,D7,D7,D7,#,.,.,.,#,.,.,.,#,#
#,.,.,.,.,.,.,.,.,.,D1,.,D2,.,D3,.,.,.,.,.,l,#,#,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,#
#,P1,.,S2,.,S3,.,S1,.,.,D1,.,D2,.,D3,.,.,.,.,.,l,#,#,.,.,.,.,.,.,.,#,^,^,^,#,V3,V3,V3,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,D5,D5,D5,D5,D5,D5,D5,D5,D5,#,#,#,#,#,#,#,#,#,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,V2,V2,V2,V2,V2,.,#,#,#,#,#,.,.,.,#,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,#,#,#,#,#,.,.,.,.,.,.,.,#,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,#,S5,.,.,.,.,.,.,#,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,.,.,.,#,#,#,#,.,.,.,.,#,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,P2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,.,.,.,.,.,.,.,.,.,.,.,.,V1,V1,V1,#,#
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTIVE,0,P1,D2,D7,D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S1,0,D1,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2,0,D2,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S3,0,D3,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S4,0,D4,P2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S5,0,D5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S6,0,P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S7,0,D6,D7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
