#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,.,.,.,.,.,.,.,.,.,.,.,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,#
D2,.,.,.,.,.,.,.,.,.,.,S3,.,#
D2,.,.,.,.,.,.,.,.,.,.,#,.,#
D2,P2,.,.,.,.,D1,D1,D1,.,.,.,.,#
#,#,.,.,.,.,.,.,.,.,.,.,S2,#
#,.,.,.,.,.,.,.,.,.,#,L,#,#
#,.,.,.,.,.,.,.,.,.,.,L,.,#
#,.,.,.,.,.,.,.,.,.,.,L,.,#
#,.,.,.,.,.,.,.,.,.,.,L,.,#
#,.,.,.,.,.,.,.,.,.,.,L,.,#
#,.,.,.,.,.,.,.,.,.,.,.,.,#
#,P1,.,.,.,.,.,.,.,.,S1,.,.,#
#,#,H1,H1,.,.,.,.,.,.,#,#,#,#
END,,,,,,,,,,,,,
ACTIVE,0, P1,,,,,,,,,,,
S1,0, D1,,,,,,,,,,,
S2,0, D1, D2,,,,,,,,,,
S3,0, P2,,,,,,,,,,,
