#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,,,,^,^,,D4,,,,,,,,#
#,,,,,,,D4,,,,,,,,#
#,,,,,,,D4,,,,,,,,#
#,,,,,,,D4,S4,,,,,,,#
#,,S3,,,,#,#,#,,,,,,,#
#,#,#,#,,,#,,,,,,,,,#
#,,,D3,,,#,,,,,,,,,#
#,,,D3,,,#,,,,,,,,,#
#,,,D3,,H1,#,,,,,,,,,#
#,,M2,,,,#,,,,,,,,,#
#,,,,,,#,,,,,,,,,#
#,,,,,,#,,,,,,,,,#
#,,,,,,#,,,,,,,,,#
#,M1,,M3,,,#,,,,,,,,,#
#,#,l,D2,D2,D2,#,,,,,,,,,#
#,,l,Z1,,,#,,,,,,,,,#
#,,l,,,,#,,,,,,,,,#
#,,l,,,,#,,,,,,,,,#
#,,l,S2,,,#,,,,,,,,,#
#,l,#,D1,D1,D1,#,,,,,,,,,#
#,l,,,,,#,,,,,,,,,#
#,l,,,,,#,,,,,,,,,#
#,l,S1,,,,#,,,,,,,,,#
#,#,#,l,V1,V1,#,,,,,,,,,#
#,,,l,,,#,,,,,,,,,#
#,,,l,,,#,,,,,,,,,#
#,,,l,,,#,,,,,,,,,#
#,P1,,l,,,.,,X8,P2,,,,,,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
END,,,,,,,,,,,,,,,
ACTIVE,0,P1,,,,,,,,,,,,,
S1,0,D1,,,,,,,,,,,,,
Z1,0,M1,,,,,,,,,,,,,
M1,0,M2,M3,,,,,,,,,,,,
S2,0,M1,D1,,,,,,,,,,,,
M3,0,D2,,,,,,,,,,,,,
M2,0,D3,,,,,,,,,,,,,
S3,0,D4,,,,,,,,,,,,,
S4,0,P2,,,,,,,,,,,,,
